sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
InquiryRegistrationCCWithoutServiceScenarioIT,79,33069,21403,71855,8538.813974343719,1.0,0.006368238130188553,0.009595653909231647,1542.9620253164558
searchServices,69,28911,13549,113719,16012.680510130482,0.0,0.005721947674695831,0.0,0.0
GlobalProblemScenarioIT,161,25425,16,152529,20639.825707817956,0.33540372670807456,0.01303497542988094,0.024801273551508594,1948.3354037267081
InquiryRegistrationClientScenarioIT,79,7952,5141,21741,2846.2885759506066,1.0,0.006510831963998231,0.009505318886126867,1494.9620253164558
inquiryRegistrationClientCardScenarioIT,81,36053,13062,107839,16255.45411907289,1.0,0.006565297394192937,0.009846442177196891,1535.7654320987654
InquiryRegistrationServicesScenarioIT,79,8220,5136,20280,3023.16276600484,1.0,0.0068202129702148355,0.010010274510550438,1502.9620253164558
NotificationScenarioIT,167,20348,1900,96384,11976.733643101103,0.07784431137724551,0.013612076047000949,0.005964516761519199,448.6946107784431
TaskList open test,59,27313,12534,96542,14130.415425963705,0.0,0.00494479844917711,0.0,0.0
NotitficationCancellationIT,84,11138,4546,22887,4962.456408360208,0.0,0.0068665261753612684,0.0,0.0
incidentWithPhoneScenarioIT,33,35045,21161,43808,3342.391444384275,1.0,0.002742607302017412,0.019468194055839154,7268.787878787879
incidentWithVisitScenarioIT,32,46450,30509,64193,5891.057808950651,1.0,0.0028953535095439446,0.009247141302118286,3270.4375
reassignRandomTask,45,29150,11101,143991,23029.431995118284,0.4888888888888889,0.004057382569881201,0.012233078888861439,3087.3777777777777
viewOlapReport,23,10297,4412,37272,7000.554522459502,1.0,0.0021516705055275014,0.013225574575543233,6294.173913043478
searchClient,18,18538,10797,58731,10414.65107506882,0.0,0.0019041626476493006,0.0,0.0
incidentForSelectedService,12,5357,3476,8930,1822.31102510582,1.0,0.0014390383769949569,0.0021501257000022304,1530.0
incidentForSelectedServiceScenario,12,35866,23960,59486,8981.871691542541,1.0,0.0014334126090140152,0.008672682881051838,6195.583333333333
incidentCancellationScenario,1,47759,47759,47759,0.0,1.0,0.02093846186059172,0.06792731474695869,3322.0
TOTAL,1034,23125,16,152529,16773.682115114218,0.5029013539651838,0.08313110659884111,0.12530655098043253,1543.5125725338492
