,Customer_Code,AddressGeographicalX,AddressGeographicalY,cluster
22273,70200329,30.50641,50.407785,0
22274,18920121,30.437296000000003,50.464628000000005,1701
22275,C0100141,30.307715,50.448205,1702
22278,C0100138,30.380158,50.385288,1703
22279,70220087,30.487451,50.451846,4
22281,C0100135,30.553556,50.396521,1704
22282,70220089,30.425504999999998,50.461545,1705
22283,70220090,30.438878000000003,50.47518,1706
22284,18920120,30.391463,50.47059,1707
22286,18920119,30.456297999999997,50.493771,1708
22287,18920117,30.505915,50.473325,10
22288,18920115,30.518957,50.469271,1709
22289,18920110,30.471441,50.465343,12
22291,C0100130,30.463295000000002,50.389601,13
22292,C0100129,30.46348,50.366181,14
22293,70220092,30.484995,50.460993,15
22294,18920105,30.473490999999996,50.463958,16
22295,C0100128,30.45477,50.380705999999996,17
22296,70220093,30.395933000000003,50.414035999999996,18
22297,70220100,30.451525,50.482221,19
22298,C0100125,30.574381,50.402409999999996,20
22300,C0100117,30.457323,50.379185,21
22303,70220086,30.607135999999997,50.508795,22
22304,70220080,30.448621000000003,50.474246,23
22305,C0100157,30.564859999999996,50.403153,1710
22306,70210062,30.42724,50.453410999999996,1711
22308,C0100155,30.373440000000002,50.382816999999996,26
22311,70200551,30.483056,50.421895,27
22312,70200550,30.50252,50.438604999999995,28
22313,70200549,30.440308,50.446596,29
22314,70200547,30.49465,50.395038,30
22315,70200545,30.47575,50.424431,1712
22316,70200544,30.503648,50.426353000000006,1713
22317,70200540,30.459120000000002,50.431055,1714
22318,70200539,30.465933000000003,50.438246,34
22319,70220101,30.463297999999998,50.427528,35
22320,70200537,30.48044,50.442440999999995,36
22322,C0100154,30.561106,50.350831,1715
22327,C0100148,30.5266,50.4039,38
22330,70200326,30.514731,50.442723,39
22331,70210067,30.512760999999998,50.434115000000006,40
22332,70210075,30.605393,50.392156,41
22333,70210076,30.516068,50.428756,42
22334,70220079,30.484340000000003,50.440301,43
22335,70200533,30.453585999999998,50.446748,44
22336,70220102,30.455606,50.431521000000004,45
22339,70220128,30.469988,50.505901,46
22340,70220131,30.45908,50.495183000000004,47
22341,70220132,30.519986,50.420970000000004,48
22342,70200525,30.474990999999996,50.450441,49
22343,70200516,30.515358000000003,50.402743,50
22344,70200513,30.495765999999996,50.448208,51
22345,70200511,30.463420000000003,50.426658,35
22346,70200510,30.485473,50.391783000000004,52
22349,70200507,30.495478000000002,50.388553,53
22350,70200504,30.461413,50.440531,1716
22351,70200502,30.503798,50.396251,55
22352,70200501,30.50897,50.398540999999994,56
22353,C0100080,30.547705999999998,50.37146,57
22354,70200496,30.481058,50.436778000000004,1712
22360,70200447,30.483718,50.438471,1712
22361,C0100079,30.534627,50.378944,60
22362,70200445,30.493415999999996,50.407883,1717
22363,70200439,30.478626000000002,50.420398,62
22364,C0100065,30.447691,50.364901,63
22365,C0100055,30.543425,50.38743,1718
22366,C0100054,30.517390999999996,50.397593,65
22367,C0100053,30.454231,50.381076,17
22369,70200494,30.490803000000003,50.446335999999995,66
22370,70220127,30.4802,50.46195,67
22371,70220125,30.41645,50.46631,68
22372,70220123,30.421946999999996,50.511957,69
22373,70220104,30.48429,50.43423,70
22374,C0100113,30.360751,50.387661,1719
22375,70220107,30.646945000000002,50.433933,72
22376,70220111,30.433172999999996,50.441896,73
22377,C0100110,30.544583000000003,50.372165,74
22378,C0100109,30.456903000000004,50.379126,21
22379,C0100106,30.463288000000002,50.365788,14
22382,C0100102,30.455326,50.368565999999994,75
22383,70200531,30.452975,50.453035,76
22384,70200529,30.434058,50.438466,77
22385,C0100101,30.463688,50.385539,1720
22386,C0100099,30.527931,50.399891,79
22388,C0100095,30.45393,50.366278,75
22390,70220119,30.491740999999998,50.451673,1721
22391,70220118,30.497101,50.443325,81
22392,70220117,30.430125,50.476372999999995,82
22393,70220116,30.457701,50.4215,83
22394,70220115,30.47765,50.417783,84
22395,C0100081,30.559945000000003,50.360526,1722
22396,70200325,30.51385,50.44064,39
22397,C0100083,30.455403000000004,50.36861,75
22398,C0100091,30.462042999999998,50.380095000000004,86
22399,C0100092,30.529388,50.399435,79
22400,70200526,30.466986,50.450756,87
22401,70220114,30.509304999999998,50.4518,88
22402,70220113,30.517381,50.439806,89
22403,C0100093,30.450815000000002,50.385301,1723
22404,C0100088,30.563105,50.401621,91
22405,70200320,30.445840000000004,50.448283,92
22406,70200315,30.490706,50.446658,66
22407,70200309,30.457890000000003,50.427763,93
22408,70302145,30.614486,50.456128,94
22409,70302138,30.604308000000003,50.493390000000005,1724
22410,70100873,30.516709999999996,50.465073,96
22412,70302136,30.644975,50.463356,97
22414,70302134,30.584639000000003,50.492163,98
22415,70302131,30.589575,50.492940999999995,99
22416,70302130,30.632842999999998,50.482391,100
22419,70100875,30.554073,50.423072999999995,101
22420,70302122,30.613397999999997,50.457593,94
22421,70302118,30.614045,50.455578,94
22423,70100876,30.520545000000002,50.437476000000004,102
22424,70100881,30.512215,50.407965000000004,1725
22425,70100882,30.494784999999997,50.447218,51
22426,70210026,30.456908000000002,50.421428999999996,83
22427,70100890,30.494784999999997,50.447218,51
22428,70100902,30.516993,50.464275,96
22429,70100903,30.511196999999996,50.466205,104
22431,70100904,30.488451,50.443754999999996,105
22432,70100909,30.545185999999998,50.444033000000005,106
22433,70100914,30.525554999999997,50.41297,107
22435,70210025,30.44657,50.437518,1726
22437,70210034,30.439733,50.446220000000004,29
22438,70100878,30.549275,50.362975,109
22439,70210023,30.360178,50.43723,110
22440,70302146,30.576545,50.493476,111
22441,70302151,30.629368,50.463171,112
22444,70302182,30.601821,50.491848,113
22445,L1300066,30.506285,50.503693,114
22446,70302179,30.632005,50.47803,115
22447,70302178,30.592536,50.479036,116
22448,70302176,30.645609999999998,50.464003000000005,97
22449,70302175,30.629388,50.467040000000004,117
22450,L1300067,30.503286,50.497890999999996,118
22451,L1300068,30.497010999999997,50.523263,119
22452,L1300069,30.49902,50.514134999999996,120
22456,70302147,30.637829999999997,50.488638,121
22457,L1300073,30.495333000000002,50.522858,119
22458,L1300075,30.505228000000002,50.522463,122
22459,70302174,30.592075,50.493035,1727
22466,70302169,30.587115999999998,50.486988000000004,1728
22467,70302165,30.561460999999998,50.357341,1722
22470,70302158,30.447709999999997,50.426359999999995,126
22472,L1300074,30.462052000000003,50.494074,127
22474,70210036,30.456963000000002,50.519709999999996,128
22475,70210037,30.423001,50.514055,69
22476,16510003,30.428009000000003,50.504638,129
22477,16510004,30.497722999999997,50.486536,130
22478,70210016,30.654006,50.43124,131
22479,70210015,30.406508000000002,50.458655,132
22480,70210010,30.482817999999998,50.419565999999996,1712
22481,70210003,30.507816,50.447001,134
22482,70200578,30.519309999999997,50.408721,135
22483,70200576,30.489206,50.388333,1729
22484,70100941,30.524633,50.413005,107
22485,70100945,30.505190000000002,50.473461,10
22486,70100950,30.524434000000003,50.415217999999996,137
22487,70100951,30.437172999999998,50.467573,1701
22488,70100956,30.539205,50.428354999999996,139
22489,70100959,30.553873,50.417313,1730
22490,70100940,30.519451,50.422492999999996,1731
22491,70100961,30.522198,50.440165,142
22492,70200006,30.456570000000003,50.441518,1732
22494,70200011,30.47284,50.423334999999994,144
22495,70200176,30.502655999999998,50.453013,1721
22496,70210042,30.450308000000003,50.500391,146
22497,70210045,30.405745,50.472008,147
22498,70200293,30.490546000000002,50.446595,66
22499,70200294,30.452621,50.451875,76
22500,70200298,30.466163,50.451431,87
22501,70200302,30.463516,50.460423,148
22502,70200304,30.485121000000003,50.439643,43
22503,70200306,30.490765000000003,50.436563,149
22504,70210048,30.504828000000003,50.4728,10
22505,70210060,30.514910999999998,50.45006,150
22506,70200003,30.505796000000004,50.392883000000005,1733
22507,70100935,30.530465999999997,50.420809999999996,152
22508,16510002,30.440145,50.500165,1734
22509,70100931,30.528975,50.400045,79
22510,70210040,30.546165000000002,50.543261,1735
22511,L3700002,30.605651,50.498613,155
22512,70210022,30.364490999999997,50.42972,156
22513,70210019,30.597386,50.45023,157
22514,70302110,30.634906,50.47889,1736
22515,70100917,30.557628,50.40226,159
22516,70302109,30.621651,50.469714,160
22517,70100918,30.545103000000005,50.442805,106
22518,70100923,30.490031,50.444133,105
22520,70210018,30.616703,50.415436,161
22521,70100924,30.530755,50.39285,162
22522,70302097,30.618757000000002,50.463384999999995,163
