Customer_Code,AddressGeographicalX,AddressGeographicalY,cluster
10000007,35.704775,47.253958,0
Q2400017,35.705833,47.260323,0
L2500013,35.757788,47.258836,0
13902477,35.708324,47.257592,0
A2000278,35.728793,47.25605,0
A2000169,35.691895,47.235116,0
A2000168,35.706326,47.254176,0
A2000166,35.704621,47.252571,0
A2000014,35.724805,47.25272,0
A2000013,35.711566,47.255483,0
A2000012,35.708146,47.254343,0
A2000005,35.709488,47.261338,0
43400059,35.717005,47.235513,0
43400058,35.71677,47.235816,0
20110131,35.698515,47.254188,0
20110114,35.69733,47.244628,0
20110087,35.709566,47.261246,0
13900897,35.69195,47.235258,0
13900899,35.706326,47.254176,0
13900901,35.700993,47.254425,0
13900902,35.708096,47.254038,0
20110046,35.69375,47.250313,0
10000452,35.692668,47.238673,0
10000446,35.710528,47.26179,0
20100049,35.69397,47.25037,0
13902479,35.710515,47.256773,0
Q2400025,35.712701,47.260053,0
Q2400036,35.708655,47.254025,0
13902474,35.713496,47.26267,0
10000013,35.712586,47.25918,0
Q2400044,35.692668,47.238673,0
S8400021,35.733716,47.246676,0
S8400020,35.698411,47.260036,0
Q2400033,36.253503,47.467975,1
S7800047,36.258106,47.46816,1
20110078,36.269846,47.467626,1
20110077,36.187231,47.490285,1
20110075,36.150585,47.492931,1
20110073,36.129226,47.495888,1
S7800048,36.251541,47.468548,1
S7800049,36.26555,47.473451,1
S7800050,36.26013,47.48889,1
S7800051,36.26013,47.49637,1
20110065,36.25395,47.47816,1
20110070,36.229353,47.487658,1
S7800046,36.270575,47.467241,1
S7800063,36.153998,47.499408,1
10000450,36.192848,47.49054,1
20110012,36.257206,47.47778,1
20100072,36.18825,47.49011,1
U0060013,36.243168,47.484683,1
20100013,36.256946,47.478135,1
13902485,36.264261,47.473526,1
20110072,36.12541,47.496626,1
S7800045,36.274145,47.480236,1
43400006,36.25986,47.47742,1
S7800044,36.253896,47.481923,1
Q2400032,36.267855,47.479306,1
Q2400040,36.25329,47.464451,1
NG700021,36.253988,47.482104,1
NG700011,36.247128,47.482394,1
Q2400049,36.24326,47.484773,1
FL100024,36.256689,47.478323,1
FL100020,36.271029,47.478193,1
FL100019,36.26959,47.466283,1
FL100005,36.259732,47.478435,1
Q2400070,36.177198,47.490635,1
A2000295,36.256938,47.479691,1
S5600004,36.271711,47.478285,1
A2000261,36.286393,47.475656,1
A2000260,36.25974,47.473346,1
S7800024,36.266065,47.487088,1
S7800025,36.2766,47.486111,1
S7800026,36.248996,47.493831,1
V6000005,36.26867,47.462485,1
S7800027,36.246936,47.49529,1
S7800028,36.232835,47.499818,1
S7800041,36.189671,47.490668,1
S7800042,36.205901,47.490141,1
S7800043,36.221866,47.488818,1
Q2400039,36.258873,47.46961,1
A2000299,36.258832,47.480896,1
V6000010,36.12923,47.49589,1
10000034,36.242141,47.496303,1
10000032,36.25769,47.49025,1
10000030,36.27789,47.47355,1
10000029,36.257201,47.49029,1
10000021,36.235208,47.486528,1
10000042,36.247906,47.482331,1
10000048,36.25412,47.47946,1
10000050,36.287543,47.475173,1
10000051,36.254715,47.471793,1
10000064,36.25194,47.47745,1
10000067,36.268701,47.465393,1
13900050,36.258751,47.480885,1
13900873,36.249701,47.460296,1
10000121,36.257311,47.474203,1
10000040,36.269575,47.466276,1
10000017,36.229035,47.488268,1
10000117,36.188581,47.490735,1
10000018,36.234781,47.486265,1
10000019,36.262656,47.48022,1
LF500046,36.345163,46.91879,2
A2000219,36.321925,46.89779,2
13900887,36.324481,46.900643,2
10000077,36.322426,46.904836,2
Q2400014,36.33737,46.72789,3
FJ500005,36.333344,46.730261,3
20110023,36.341021,46.736801,3
Q2400053,36.32483,46.73684,3
10000088,36.345025,46.734945,3
S6400043,36.328913,46.7351,3
S6400042,36.35631,46.728351,3
S6400041,36.338255,46.736961,3
S6400040,36.33815,46.73661,3
43400010,36.35625,46.728273,3
43400017,36.3472,46.731113,3
NG300018,36.34499,46.731487,3
20110013,36.357598,46.72746,3
43400018,36.34223,46.72833,3
