date,t
2014-01-01,-1.35
2014-01-02,0.6000000000000001
2014-01-03,0.8
2014-01-04,0.875
2014-01-05,2.3499999999999996
2014-01-06,5.1
2014-01-07,2.3
2014-01-08,4.949999999999999
2014-01-09,6.875
2014-01-10,5.825
2014-01-11,4.7749999999999995
2014-01-12,2.925
2014-01-13,-1.0
2014-01-14,-1.9250000000000003
2014-01-15,1.7500000000000002
2014-01-16,-1.6
2014-01-17,-2.1
2014-01-18,-0.85
2014-01-19,-7.35
2014-01-20,-10.350000000000001
2014-01-21,-9.35
2014-01-22,-9.225
2014-01-23,-10.9
2014-01-24,-12.649999999999999
2014-01-25,-14.025
2014-01-26,-13.3
2014-01-27,-13.45
2014-01-28,-11.7
2014-01-29,-14.049999999999999
2014-01-30,-17.4
2014-01-31,-14.200000000000001
2014-02-01,-12.700000000000001
2014-02-02,-9.475000000000001
2014-02-03,-7.250000000000001
2014-02-04,-1.7750000000000001
2014-02-05,0.2999999999999999
2014-02-06,-0.6749999999999998
2014-02-07,-0.225
2014-02-08,0.3
2014-02-09,1.375
2014-02-10,1.25
2014-02-11,3.375
2014-02-12,0.9
2014-02-13,3.15
2014-02-14,2.7249999999999996
2014-02-15,2.45
2014-02-16,1.4249999999999998
2014-02-17,4.85
2014-02-18,5.8
2014-02-19,5.025
2014-02-20,4.575
2014-02-21,7.949999999999999
2014-02-22,4.75
2014-02-23,2.25
2014-02-24,2.3
2014-02-25,0.65
2014-02-26,2.1
2014-02-27,1.2
2014-02-28,1.075
2014-03-01,1.625
2014-03-02,2.025
2014-03-03,0.9500000000000001
2014-03-04,2.1999999999999997
2014-03-05,3.225
2014-03-06,3.6
2014-03-07,7.7
2014-03-08,6.2749999999999995
2014-03-09,8.25
2014-03-10,9.925
2014-03-11,12.825
2014-03-12,8.175
2014-03-13,12.125
2014-03-14,13.825
2014-03-15,11.299999999999999
2014-03-16,4.35
2014-03-17,3.6250000000000004
2014-03-18,6.075
2014-03-19,8.925
2014-03-20,11.075
2014-03-21,13.325
2014-03-22,17.075
2014-03-23,12.675
2014-03-24,15.7
2014-03-25,16.650000000000002
2014-03-26,16.475
2014-03-27,12.15
2014-03-28,10.799999999999999
2014-03-29,5.2749999999999995
2014-03-30,8.92
2014-03-31,12.34
2014-04-01,2.32
2014-04-02,3.28
2014-04-03,8.54
2014-04-04,10.42
2014-04-05,4.840000000000001
2014-04-06,9.0
2014-04-07,8.9
2014-04-08,14.38
2014-04-09,15.26
2014-04-10,5.64
2014-04-11,4.779999999999999
2014-04-12,3.8600000000000003
2014-04-13,5.82
2014-04-14,9.099999999999998
2014-04-15,8.98
2014-04-16,9.24
2014-04-17,12.200000000000001
2014-04-18,17.599999999999998
2014-04-19,14.440000000000001
2014-04-20,16.9
2014-04-21,13.9
2014-04-22,15.66
2014-04-23,17.18
2014-04-24,15.24
2014-04-25,14.24
2014-04-26,16.36
2014-04-27,17.64
2014-04-28,17.700000000000003
2014-04-29,17.54
2014-04-30,19.380000000000003
2014-05-01,17.62
2014-05-02,17.98
2014-05-03,14.040000000000001
2014-05-04,14.84
2014-05-05,8.8
2014-05-06,9.4
2014-05-07,15.319999999999999
2014-05-08,17.22
2014-05-09,17.82
2014-05-10,12.12
2014-05-11,17.36
2014-05-12,16.36
